Concept,definition,uni_lemma,Pronunciation,Num_Parts,MN_Toddler_Access,MN_Toddler_Access_No_Tax,Phon_1st,SUBTLEX_PM,LN_SUBTLEX,Length_Letters,Length_Phonemes,Length_Syllables,Bigram,Trigram,ColtheartN,Num_Feats_Tax,Num_Feats_No_Tax,Num_Disting_Feats_No_Tax,Disting_Feats_Percent_No_Tax,Mean_Distinct_No_Tax,Mean_CV_No_Tax,Density_No_Tax,Num_Corred_Pairs_No_Tax,Percent_Corred_Pairs_No_Tax,Num_Func,Num_Vis_Mot,Num_VisFandS,Num_Vis_Col,Num_Sound,Num_Taste,Num_Smell,Num_Tact,Num_Percep,Num_Ency,Num_Tax
airplane,airplane,airplane,[E@][pleIn],30,4.41,4.41,E@,199.36,5.3,8,5,2,254.93,32.61,0,13,13,5,38,0.38,0.4,526.4,7,9,3,3,5,0,0,0,0,0,8,2,0
alligator,alligator,alligator,[&][lI][geI][t@r*],45,4.62,4.7,&,134.2,4.9,9,8,4,214.76,42.59,0,20,17,5,29,0.344,0.355,565.17,13,10,1,2,7,1,0,0,0,0,10,6,3
animal,animal,animal,[&][nI][m],104,5,5.16,&,917.35,6.82,6,5,3,621.24,156.07,0,10,5,2,40,0.339,0.309,90.23,3,30,0,1,2,0,0,0,0,0,3,2,5
ankle,ankle,ankle,[&N][k],43,4.1,4.19,&,147.34,4.99,5,4,2,500.83,10.34,1,11,8,3,38,0.517,0.492,268.87,4,14,2,0,3,0,0,0,0,0,3,3,3
ant,ant,ant,[&nt],30,4.52,4.46,&,163.04,5.09,3,3,1,15047.34,NA,6,12,11,6,55,0.562,0.545,14.97,1,2,0,2,3,2,0,0,0,0,7,4,1
apple,apple,apple,[&][p],30,4.48,4.53,&,659.34,6.49,5,3,2,564.29,54.68,2,19,17,5,29,0.323,0.325,733.29,23,17,2,0,4,3,0,3,0,2,12,3,2
applesauce,applesauce,applesauce,[&][p][sO:s],72,5.04,4.9,&,6.83,1.92,10,6,3,281.31,NA,0,16,14,4,29,0.282,0.259,224,8,9,5,0,0,1,0,3,0,1,5,4,2
arm,arm,arm,[A:m],102,4.31,4.22,A,1475.03,7.3,3,2,1,2410.33,NA,5,11,10,4,40,0.503,0.484,121.3,4,9,2,0,8,0,0,0,0,0,8,0,1
aunt,aunt,aunt,[A:nt],43,4.93,4.77,A,553.61,6.32,4,3,1,796.97,46.78,4,9,4,1,25,0.406,0.361,16.17,1,17,0,0,0,0,0,0,0,0,0,4,5
baby,baby,baby,[beI][bI],43,5.22,5.16,b,5893.98,8.68,4,4,2,797.04,184.28,1,10,8,5,62,0.665,0.659,53.43,2,7,0,0,1,0,1,0,0,0,2,6,2
