Concept,definition,uni_lemma,Feature,WB_Label,WB_Maj,WB_Min,BR_Label,Prod_Freq,Num_Parts,NPF,Rank_NPF,Sum_NPF_No_Tax,CPF,Disting,Distinct,CV_No_Tax,Intercorr_Str_Tax,Intercorr_Str_No_Tax,Feat_Length,Toddler_Access,MN_Toddler_Access,MN_Toddler_Access_No_Tax,Phon_1st,SUBTLEX_PM,LN_SUBTLEX,Length_Letters,Length_Phonemes,Length_Syllables,Bigram,Trigram,ColtheartN,Num_Feats_Tax,Num_Feats_No_Tax,Num_Disting_Feats_No_Tax,Disting_Feats_Percent_No_Tax,Mean_Distinct_No_Tax,Mean_CV_No_Tax,Density_No_Tax,Num_Corred_Pairs_No_Tax,Percent_Corred_Pairs_No_Tax,Num_Func,Num_Vis_Mot,Num_VisFandS,Num_Vis_Col,Num_Sound,Num_Taste,Num_Smell,Num_Tact,Num_Percep,Num_Ency,Num_Tax
airplane,airplane,airplane,beh_-_flies,entity_behavior,e,b,visual-motion,25,30,25,1,156.353,9,ND,0.111,0.16,71.99,71.99,11,5.55,4.41,4.41,E@,199.36,5.3,8,5,2,254.93,32.61,0,13,13,5,38,0.38,0.4,526.4,7,9,3,3,5,0,0,0,0,0,104,2,0
airplane,airplane,airplane,has_wings,external_component,e,ce,visual-form_and_surface,20,30,20,2,141.526,13,ND,0.077,0.141,71.99,71.99,9,5.97,4.41,4.41,E@,199.36,5.3,8,5,2,254.93,32.61,0,13,13,5,38,0.38,0.4,526.4,7,9,3,3,5,0,0,0,0,0,104,2,0
airplane,airplane,airplane,used_for_passengers,participant,s,p,function,15,30,15,3,50,3,ND,0.333,0.3,94.72,94.72,19,4.31,4.41,4.41,E@,199.36,5.3,8,5,2,254.93,32.61,0,13,13,5,38,0.38,0.4,526.4,7,9,3,3,5,0,0,0,0,0,104,2,0
airplane,airplane,airplane,is_fast,systemic_property,e,sys,visual-motion,11,30,11,4,96.811,10,ND,0.1,0.114,61.32,61.32,7,5.32,4.41,4.41,E@,199.36,5.3,8,5,2,254.93,32.61,0,13,13,5,38,0.38,0.4,526.4,7,9,3,3,5,0,0,0,0,0,104,2,0
airplane,airplane,airplane,requires_pilots,contingency,i,c,encyclopaedic,11,30,11,4,17,2,D,0.5,0.647,0,0,15,2.76,4.41,4.41,E@,199.36,5.3,8,5,2,254.93,32.61,0,13,13,5,38,0.38,0.4,526.4,7,9,3,3,5,0,0,0,0,0,104,2,0
airplane,airplane,airplane,used_for_transportation,function,s,f,function,10,30,10,6,113.369,11,ND,0.091,0.088,104.46,104.46,23,4.11,4.41,4.41,E@,199.36,5.3,8,5,2,254.93,32.61,0,13,13,5,38,0.38,0.4,526.4,7,9,3,3,5,0,0,0,0,0,104,2,0
airplane,airplane,airplane,found_in_airports,location,s,l,encyclopaedic,8,30,8,7,8,1,D,1,1,0,0,17,4.42,4.41,4.41,E@,199.36,5.3,8,5,2,254.93,32.61,0,13,13,5,38,0.38,0.4,526.4,7,9,3,3,5,0,0,0,0,0,104,2,0
airplane,airplane,airplane,is_large,external_surface_property,e,se,visual-form_and_surface,8,30,8,7,346.007,33,ND,0.03,0.023,0,0,8,5.28,4.41,4.41,E@,199.36,5.3,8,5,2,254.93,32.61,0,13,13,5,38,0.38,0.4,526.4,7,9,3,3,5,0,0,0,0,0,104,2,0
airplane,airplane,airplane,made_of_metal,made_of,e,m,visual-form_and_surface,8,30,8,7,326.53000000000003,32,ND,0.031,0.025,0,0,13,3.78,4.41,4.41,E@,199.36,5.3,8,5,2,254.93,32.61,0,13,13,5,38,0.38,0.4,526.4,7,9,3,3,5,0,0,0,0,0,104,2,0
airplane,airplane,airplane,inbeh_-_crashes,entity_behavior,e,b,visual-motion,7,30,7,10,7,1,D,1,1,0,0,15,3.38,4.41,4.41,E@,199.36,5.3,8,5,2,254.93,32.61,0,13,13,5,38,0.38,0.4,526.4,7,9,3,3,5,0,0,0,0,0,104,2,0
airplane,airplane,airplane,used_for_travel,function,s,f,function,7,30,7,10,12,2,D,0.5,0.583,0,0,15,4.5,4.41,4.41,E@,199.36,5.3,8,5,2,254.93,32.61,0,13,13,5,38,0.38,0.4,526.4,7,9,3,3,5,0,0,0,0,0,104,2,0
