Questions,LemmaID,words,category,lexical_category,aoa,DF_aoa,Kuperman_aoa,words_FeatsVersion,words_FANversion,words_DaleFensonVersion,words_KupermanVersion,Freq_pm,Feats_check,FAN_check,DF_check
?? Action sign only??,,swing (object),outside,nouns,21.34157603,20,4.16,swing,swing,swing (item),swing,25.98,TRUE,TRUE,TRUE
?? Glue_2??,glue_1 ,glue,toys,nouns,28.36269629,30,4.67,glue,glue,glue,glue,5.88,TRUE,TRUE,TRUE
?? Multiple scarft signs??,scarf,scarf,clothing,nouns,30.62593623,NA,5.68,scarf,scarf,scarf,scarf,4.69,TRUE,TRUE,TRUE
?? Multiple toy signs!,toy_1,toy (object),toys,nouns,20.9739828,19,3,toy,toy,toy,toy,16.84,TRUE,TRUE,TRUE
?? Truck_2?,truck_1,truck,vehicles,nouns,18.55693661,18,3.79,truck,truck,truck,truck,72.86,TRUE,TRUE,TRUE
??chain??,,pretzel,food_drink,nouns,25.38590491,28,5,pretzel,pretzel,pretzel,pretzel,2,TRUE,FALSE,TRUE
??peas_2?,peas_1,peas,food_drink,nouns,24.08658726,23,3.95,peas,peas,peas,pea,3.9,TRUE,TRUE,TRUE
??pizza_2??,pizza_1,pizza,food_drink,nouns,21.02696606,22,4.67,pizza,pizza,pizza,pizza,33.51,TRUE,TRUE,TRUE
??sled_2??,sled_1,sled,vehicles,nouns,29.32699719,NA,4.89,sled,sled,sled,sled,2.92,TRUE,FALSE,TRUE
,airplane,airplane,vehicles,nouns,19.73514473,19,3.94,airplane,airplane,airplane,airplane,10.92,TRUE,TRUE,TRUE
,animal,animal,animals,nouns,23.80777221,23,2.89,animal,animal,animal,animal,45.49,TRUE,TRUE,TRUE
,apple,apple,food_drink,nouns,17.78681925,17,4.15,apple,apple,apple,apple,23.67,TRUE,TRUE,TRUE
,aunt,arm,body_parts,nouns,21.42179351,21,3.26,arm,arm,arm,arm,65.41,TRUE,TRUE,TRUE
,baby,baby,people,other,15.2594829,16,3.84,baby,baby,baby,baby,509.37,TRUE,TRUE,TRUE
,ball,ball,toys,nouns,11.59084126,16,2.9,ball,ball,ball,ball,104.96,TRUE,TRUE,TRUE
,balloon,balloon,toys,nouns,16.83756478,16,4.37,balloon,balloon,balloon,balloon,8.67,TRUE,TRUE,TRUE
,banana,banana,food_drink,nouns,15.69715301,17,3.78,banana,banana,banana,banana,10.73,TRUE,TRUE,TRUE
,basement,basement,furniture_rooms,nouns,32.56975691,NA,6.74,basement,basement,basement,basement,21.06,TRUE,TRUE,TRUE
,basket_1,basket,household,nouns,24.78659751,25,5.67,basket,basket,basket,basket,13.18,TRUE,TRUE,TRUE
,bat_1,bat,toys,nouns,25.29444107,25,4.85,bat_(baseball),bat,bat,bat,20.63,TRUE,TRUE,TRUE
,bath,beads,clothing,nouns,28.72795041,NA,5.63,beads,bead,beads,bead,1.12,TRUE,TRUE,TRUE
,bathroom,bathroom,furniture_rooms,nouns,23.01979016,22,3,bathroom,bathroom,bathroom,bathroom,61.67,TRUE,TRUE,TRUE
,beach,beach,places,other,26.17495682,23,4.8,beach,beach,beach,beach,56.63,TRUE,TRUE,TRUE
,beans,beans,food_drink,nouns,24.03866366,23,3.42,beans,beans,beans,bean,6.84,TRUE,TRUE,TRUE
,beans,green beans,food_drink,nouns,26.90884095,30,NA,green_beans,green beans,green beans,green beans,NA,TRUE,FALSE,TRUE
,bear,bear,animals,nouns,18.58684075,19,3.58,bear,bear,bear,bear,57.41,TRUE,TRUE,TRUE
,bed,bed,furniture_rooms,nouns,20.23767326,20,2.89,bed,bed,bed,bed,187.12,TRUE,TRUE,TRUE
,bedroom,bedroom,furniture_rooms,nouns,24.7122869,25,3.9,bedroom,bedroom,bedroom,bedroom,36.71,TRUE,TRUE,TRUE
,bee,bee,animals,nouns,20.59624895,20,5,bee,bee,bee,bee,10.35,TRUE,TRUE,TRUE
,belt,belt,clothing,nouns,25.45861645,23,4.62,belt,belt,belt,belt,24.35,TRUE,TRUE,TRUE
,bib,bib,clothing,nouns,23.11847347,21,4.53,bib,bib,bib,bib,0.49,TRUE,FALSE,TRUE
,bicycle,bicycle,vehicles,nouns,21.18699052,19,4.26,bike,bicycle,bicycle,bicycle,6.61,TRUE,TRUE,TRUE
,bird,bird,animals,nouns,16.51159259,16,3.52,bird,bird,bird,bird,45.45,TRUE,TRUE,TRUE
,blanket,blanket,household,nouns,20.02455527,19,3.61,blanket,blanket,blanket,blanket,12.98,TRUE,TRUE,TRUE
,boat,boat,vehicles,nouns,20.18756804,18,3.84,boat,boat,boat,boat,95.78,TRUE,TRUE,TRUE
,book,book,toys,nouns,15.42817463,16,3.68,book,book,book,book,176.98,TRUE,TRUE,TRUE
,boots,boots,clothing,nouns,22.06202107,22,4.86,boots,boots,boots,boots,19.16,TRUE,TRUE,TRUE
,bottle,bottle,household,nouns,18.2451135,16,3.56,bottle,bottle,bottle,bottle,50.75,TRUE,TRUE,TRUE
