Concept,definition,uni_lemma,Num_Func,Num_Vis_Mot,Num_VisFandS,Num_Vis_Col,Num_Sound,Num_Taste,Num_Smell,Num_Tact,Num_Percep,Num_Ency,Num_Tax,LemmaID,Sign,bglm_aoa_ASL,empirical_aoa_ASL,category,lexical_category,aoa,DF_aoa,CHILDES.count,CHILDES.freq.pm,CHILDES.ln_freq.pm,SignFrequency(Z)
airplane,airplane,airplane,3,3,5,0,0,0,0,0,8,2,0,airplane,AIRPLANE,26,23,vehicles,nouns,19.73514473,19,463,201.81080520331895,5.307330650605593,0.379
alligator,alligator,alligator,1,2,7,1,0,0,0,0,10,6,3,crocodile,CROCODILE,26,23,animals,nouns,24.81540309,25,155,67.56085271385408,4.213028713438605,-0.924
animal,animal,animal,0,1,2,0,0,0,0,0,3,2,5,animal,ANIMAL,29,19,animals,nouns,23.80777221,23,1009,439.7993573437339,6.086318616872967,0.476
apple,apple,apple,2,0,4,3,0,3,0,2,12,3,2,apple,APPLE,25,14,food_drink,nouns,17.78681925,17,1004,437.6199749981257,6.081350896771033,0.898
arm,arm,arm,2,0,8,0,0,0,0,0,8,0,1,aunt,AUNT,33,14,body_parts,nouns,21.42179351,21,455,198.32379345034585,5.289901015470309,-0.346
aunt,aunt,aunt,0,0,0,0,0,0,0,0,0,4,5,aunt,AUNT,33,14,people,other,25.22528103,24,132,57.53569392405637,4.052405519105729,-0.346
baby,baby,baby,0,0,1,0,1,0,0,0,2,6,2,baby,BABY,22,14,people,other,15.2594829,16,5976,2604.797779470915,7.865110323332011,0.316
ball,ball,ball,5,2,2,1,0,0,0,0,5,1,6,ball,BALL,19,14,toys,nouns,11.59084126,16,3538,1542.1309477523594,7.340920471239089,0.227
balloon,balloon,balloon,2,2,4,2,2,0,0,1,11,5,0,balloon,BALLOON,27,19,toys,nouns,16.83756478,16,402,175.22234058689895,5.166055685138379,-0.545
balloon,balloon,balloon,2,2,4,2,2,0,0,1,11,5,0,balloon,BALLOON,27,19,toys,nouns,16.83756478,16,402,175.22234058689895,5.166055685138379,-1.098
banana,banana,banana,3,0,3,2,0,1,0,1,7,3,1,banana,BANANA,25,15,food_drink,nouns,15.69715301,17,566,246.7060815228478,5.508197674722541,-0.059
basement,basement,basement,1,0,7,0,0,0,1,2,10,5,0,basement,BASEMENT,47,35,furniture_rooms,nouns,32.56975691,NA,38,16.563305826622287,2.807189756245744,-0.95
bat_(baseball),bat,bat,4,0,3,0,0,0,0,1,4,0,0,bat_1,BAT,36,33,toys,nouns,25.29444107,25,109,47.51053513425867,3.8609514787485018,-1.03
bathroom,bathroom,bathroom,6,0,7,0,0,0,0,0,7,1,0,bathroom,BATHROOM,27,28,furniture_rooms,nouns,23.01979016,22,213,92.84168792290914,4.530895762228783,1.144
beach,beach,beach,3,0,3,0,0,0,0,0,3,8,0,beach,BEACH,41,39,places,other,26.17495682,23,281,122.4812878231806,4.807958265853104,-0.223
beads,beads,beads,5,0,7,2,0,0,0,0,9,1,0,bath,BATH,22,15,clothing,nouns,28.72795041,NA,179,78.02188797277341,4.356989402360114,0.161
beans,beans,beans,3,0,2,3,0,0,0,0,5,4,3,beans,~BEAN,50,23,food_drink,nouns,24.03866366,23,291,126.840052514397,4.842926863690851,-0.832
bear,bear,bear,1,1,7,3,0,0,0,0,11,5,2,bear,BEAR,26,15,animals,nouns,18.58684075,19,2095,913.161202809834,6.816912428875597,-0.577
bed,bed,bed,2,0,5,0,0,0,0,3,8,6,1,bed,BED,23,16,furniture_rooms,nouns,20.23767326,20,1371,597.5866391657673,6.392899276081673,1.121
bedroom,bedroom,bedroom,2,0,6,0,0,0,0,0,6,1,1,bedroom,BEDROOM,39,28,furniture_rooms,nouns,24.7122869,25,138,60.1509527387862,4.096857281676563,0.176
bee,bee,bee,0,3,3,2,1,0,0,0,9,4,1,bee,BEE,30,31,animals,nouns,20.59624895,20,230,100.251587897977,4.607682905442553,-0.427
belt,belt,belt,4,0,6,0,0,0,0,0,6,1,2,belt,BELT,41,23,clothing,nouns,25.45861645,23,67,29.203723431149825,3.3742962159103245,-1.032
bike,bicycle,bicycle,4,0,8,1,0,0,0,0,9,0,1,bicycle,BICYCLE,28,23,vehicles,nouns,21.18699052,19,226,98.50808202149044,4.590138595791644,0.56
bird,bird,bird,0,2,4,1,2,0,0,0,9,4,1,bird,BIRD,23,14,animals,nouns,16.51159259,16,1748,761.9120680246253,6.6358311527348395,0.602
blanket,blanket,blanket,3,0,3,1,0,0,0,1,5,2,1,blanket,BLANKET,29,19,household,nouns,20.02455527,19,435,189.60626406791303,5.244949627608042,0.219
boat,boat,boat,5,1,5,0,0,0,0,0,6,2,1,boat,BOAT,25,15,vehicles,nouns,20.18756804,18,517,225.34813453588745,5.417646471027788,-0.248
book,book,book,2,0,8,0,0,0,0,0,8,4,2,book,BOOK,21,15,toys,nouns,15.428174629999999,16,5315,2316.6834333815123,7.747891887295407,1.408
boots,boots,boots,8,0,7,2,0,0,0,0,9,2,2,boots,BOOTS,31,28,clothing,nouns,22.06202107,22,237,103.30272318182848,4.637663737654489,-0.829
bottle,bottle,bottle,5,0,5,2,0,0,0,0,7,2,1,bottle,BOTTLE,40,31,household,nouns,18.2451135,16,692,301.6265166321743,5.709189552137028,-0.184
bowl,bowl,bowl,7,0,4,1,0,0,0,0,5,2,0,bowl,BOWL,32,28,household,nouns,22.11911531,21,446,194.40090522825108,5.269922548539422,0.352
box,box,box,2,0,10,1,0,0,0,0,11,0,1,box,BOX,32,23,household,nouns,21.74187804,22,2360,1028.6684671270684,6.936020494539014,0.283
boy,boy,boy,0,1,3,0,0,0,0,0,4,4,2,boy,BOY,32,23,people,other,22.73642148,20,2541,1107.5621080380852,7.009916579839523,0.949
bread,bread,bread,5,0,1,2,0,0,0,1,4,5,2,bread,BREAD,31,23,food_drink,nouns,21.17000405,21,334,145.5827406866275,4.980744589496059,0.755
brother,brother,brother,0,0,0,0,0,0,0,0,0,3,6,brother,BROTHER,40,19,people,other,26.65701942,28,189,82.3806526639898,4.411350611579,0.533
brush,brush,brush (object),6,0,4,0,0,0,0,0,4,2,0,brush,BRUSH,29,16,household,nouns,21.44336272,22,355,154.7361465381819,5.041721385994774,-0.179
bubble,bubbles,bubbles,2,1,2,0,1,0,0,0,4,5,0,bubbles,BALLOON,32,19,toys,nouns,17.75470999,18,515,224.47638159764415,5.413770497183094,-0.545
bubble,bubbles,bubbles,2,1,2,0,1,0,0,0,4,5,0,bubbles,BALLOON,32,19,toys,nouns,17.75470999,18,515,224.47638159764415,5.413770497183094,-1.098
bug,bug,bug,0,2,4,0,0,0,0,0,6,3,1,bug,BUG,28,19,animals,nouns,20.95382291,19,409,178.27347587075042,5.18331875256216,-0.149
bunny,bunny,bunny,0,2,5,2,0,0,0,3,12,2,4,rabbit,RABBIT-EARS,30,28,animals,nouns,20.0411862,19,1305,568.8187922037391,6.343561916276152,-0.947
butter,butter,butter,6,0,1,1,0,3,0,1,6,6,1,butter,BUTTER,30,26,food_drink,nouns,23.90870261,22,352,153.42851713081697,5.0332347721174555,0.541
butterfly,butterfly,butterfly,0,2,3,2,0,0,0,0,7,6,2,butterfly,BUTTERFLY,27,23,animals,nouns,22.54512234,23,351,152.99264066169533,5.030389819985224,-0.137
button,button,button,1,0,7,1,0,0,0,0,8,3,0,buttons,BUTTON,40,28,clothing,nouns,21.78850695,20,804,350.4446811737979,5.859202865698324,-0.677
cake,cake,cake,3,0,0,0,0,3,0,0,3,8,3,cake,CAKE,29,28,food_drink,nouns,21.63313802,22,468,203.9901875489271,5.318071892437005,-0.455
camera,camera,camera,2,0,4,0,0,0,0,0,4,5,1,camera,CAMERA,31,24,household,nouns,24.94613371,25,576,251.06484621406415,5.525711257215249,0.103
camping,camping,camping,0,0,0,0,0,0,0,0,0,10,0,camping,CAMPING,36,34,places,other,31.16263019,NA,12,5.23051762945967,1.6545102463073589,0.186
can,can (object),can (object),5,0,4,0,0,0,0,0,4,1,1,can,CAN,35,28,household,nouns,26.71063666,27,461,200.93905226507567,5.303001639516007,1.067
candy,candy,candy,2,0,0,1,0,5,0,3,9,3,0,candy_1,CANDY_1,28,22,food_drink,nouns,22.00849813,22,162,70.61198799770554,4.257199931751742,0.261
car,car,car,1,1,7,1,0,0,0,0,9,5,2,car,CAR,24,14,vehicles,nouns,16.93378021,16,3357,1463.2373068413428,7.288406593499393,1.361
carrot,carrots,carrots,4,0,4,2,0,0,0,1,7,5,2,carrot,CARROT,34,28,food_drink,nouns,23.27305918,23,391,170.4276994265609,5.138311156504725,-0.291
